date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:36	10807/10807	U--M-Z	200	updated ('OK')	text/html	etag:%22103ad0099e1203f44158fa963d035927-ssl-df%22	https://htmx.org/	C:/websites/htmx/htmx.org/index.html	(from )
19:43:36	71/71	U-----	200	untouched ('OK')	text/plain	etag:%2250b3af134a9f87a91fa25be7f8857589-ssl%22	https://htmx.org/robots.txt		(from )
19:43:37	7035/7035	U--M-Z	200	updated ('OK')	text/css	etag:%2246e5e64a86e4c288d9bae98249bd51b8-ssl-df%22	https://htmx.org/css/site.css	C:/websites/htmx/htmx.org/css/site.css	(from https://htmx.org/)
19:43:37	150393/150393	U--M-Z	200	updated ('OK')	application/javascript	etag:%227195022593fbce9e84e8e116a7a60b8d-ssl-df%22	https://htmx.org/js/htmx.js	C:/websites/htmx/htmx.org/js/htmx.js	(from https://htmx.org/)
19:43:37	116476/116476	---M--	200	added ('OK')	image/png	etag:%227139a1a7c42883b850d15c9a2634f74e-ssl%22	https://htmx.org/img/hypermedia-systems.png	C:/websites/htmx/htmx.org/img/hypermedia-systems.png	(from https://htmx.org/)
19:43:37	483490/483490	U--M-Z	200	updated ('OK')	application/xml	etag:%2243146d7a369f651b0faae69b74ec7e93-ssl-df%22	https://htmx.org/atom.xml	C:/websites/htmx/htmx.org/atom.xml	(from https://htmx.org/)
19:43:37	3293/3293	U--M-Z	200	updated ('OK')	application/javascript	etag:%22941e21d17b104138293c06fea535aee4-ssl-df%22	https://htmx.org/js/class-tools.js	C:/websites/htmx/htmx.org/js/class-tools.js	(from https://htmx.org/)
19:43:38	4752/4752	U--MCZ	200	updated ('OK')	application/javascript	etag:%22d0b63e2bcfe63a03d697d0ca3eebbb41-ssl-df%22	https://htmx.org/js/preload.js	C:/websites/htmx/htmx.org/js/preload.js	(from https://htmx.org/)
19:43:38	106189/106189	U--M-Z	200	updated ('OK')	application/javascript	etag:%2297a9541871723ec3319892ab8df2bfa1-ssl-df%22	https://htmx.org/js/_hyperscript.js	C:/websites/htmx/htmx.org/js/_hyperscript.js	(from https://htmx.org/)
19:43:38	5614/5614	---MCZ	200	added ('OK')	image/svg+xml	etag:%22f7e182e5a4ecbe9cd5dcfac3fe14382f-ssl-df%22	https://htmx.org/img/nuclei_logo_with_text.svg	C:/websites/htmx/htmx.org/img/nuclei_logo_with_text.svg	(from https://htmx.org/)
19:43:38	27141/27141	U--MCZ	200	updated ('OK')	text/html	etag:%2249f9a77589a05ec8012062c133789b48-ssl-df%22	https://htmx.org/reference/	C:/websites/htmx/htmx.org/reference/index.html	(from https://htmx.org/)
19:43:38	136606/136606	U--MCZ	200	updated ('OK')	text/html	etag:%228592614a70bba3bf5f74029f55467a5f-ssl-df%22	https://htmx.org/docs/	C:/websites/htmx/htmx.org/docs/index.html	(from https://htmx.org/)
19:43:38	8341/8341	U--M-Z	200	updated ('OK')	text/html	etag:%22e29a190d945f4a9b0859577566e758c4-ssl-df%22	https://htmx.org/examples/	C:/websites/htmx/htmx.org/examples/index.html	(from https://htmx.org/)
19:43:39	14708/14708	U--MCZ	200	updated ('OK')	text/html	etag:%223d67d1960289038483155cb7ee155263-ssl-df%22	https://htmx.org/talk/	C:/websites/htmx/htmx.org/talk/index.html	(from https://htmx.org/)
19:43:39	9128/9128	U--MCZ	200	updated ('OK')	text/html	etag:%223c13d160656a8729879d9da71ec67c84-ssl-df%22	https://htmx.org/essays/	C:/websites/htmx/htmx.org/essays/index.html	(from https://htmx.org/)
19:43:39	108/108	---MCZ	302	error ('Found')	text/html	date:Fri,%2018%20Aug%202023%2017:43:39%20GMT	https://unpkg.com/htmx.org/dist/htmx.min.js	C:/websites/htmx/unpkg.com/htmx.org/dist/htmx.min.e.delayed	(from https://htmx.org/docs/)
19:43:39	9430/9430	U--MCZ	200	updated ('OK')	text/html	etag:%225b22493f1a49e89e0ad3012bf283c3ac-ssl-df%22	https://htmx.org/essays/a-real-world-react-to-htmx-port/	C:/websites/htmx/htmx.org/essays/a-real-world-react-to-htmx-port/index.html	(from https://htmx.org/)
19:43:39	5374/5374	U--MCZ	200	updated ('OK')	text/html	etag:%226e1a2c7e53190389b2dadddc66045ac5-ssl-df%22	https://htmx.org/attributes/hx-post/	C:/websites/htmx/htmx.org/attributes/hx-post/index.html	(from https://htmx.org/)
19:43:39	16715/16715	U--MCZ	200	updated ('OK')	text/html	etag:%225a481e987f301de1be5cc0e521d3ffbb-ssl-df%22	https://htmx.org/extensions/	C:/websites/htmx/htmx.org/extensions/index.html	(from https://htmx.org/)
19:43:40	44307/44307	---MCZ	200	added ('OK')	application/javascript	etag:%22ad13-Cem6Nzv5HbqLS0BhoayvBtPRF+E%22	https://unpkg.com/htmx.org@1.9.4/dist/htmx.min.js	C:/websites/htmx/unpkg.com/htmx.org@1.9.4/dist/htmx.min.js	(from https://htmx.org/docs/)
19:43:40	5198/5198	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%220ce8f249530f9707204efaaf76f469ce-ssl-df%22	https://htmx.org/examples/animations	C:/websites/htmx/htmx.org/examples/animations.10.delayed	(from https://htmx.org/docs/)
19:43:40	167813/167813	U-----	200	untouched ('')	image/png	etag:%22d1796050ad5633ec14edf35924540010-ssl%22	https://htmx.org/img/jetbrains.png	C:/websites/htmx/htmx.org/img/jetbrains.png	(from https://htmx.org/)
19:43:40	15056/15056	U--MCZ	200	updated ('OK')	text/html	etag:%228d80b819a8230cecbd7f71e3028763a6-ssl-df%22	https://htmx.org/attributes/hx-swap/	C:/websites/htmx/htmx.org/attributes/hx-swap/index.html	(from https://htmx.org/)
19:43:40	16172/16172	U--MCZ	200	updated ('OK')	text/html	etag:%22636f377ec262e1602456df93a88f7f55-ssl-df%22	https://htmx.org/essays/hypermedia-driven-applications/	C:/websites/htmx/htmx.org/essays/hypermedia-driven-applications/index.html	(from https://htmx.org/)
19:43:41	5395/5395	U--M-Z	200	updated ('OK')	image/svg+xml	etag:%228ffa444d3b8376c556303d053068eeb1-ssl-df%22	https://htmx.org/img/commspace.svg	C:/websites/htmx/htmx.org/img/commspace.svg	(from https://htmx.org/)
19:43:41	42/42	---MC-	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2018%20Aug%202023%2017:43:40%20GMT	https://htmx.org/discord	C:/websites/htmx/htmx.org/discord.11.delayed	(from https://htmx.org/docs/)
19:43:41	4128/4128	U--M-Z	200	updated ('OK')	image/svg+xml	etag:%22b96893e20c063f119321405f962b5f18-ssl-df%22	https://htmx.org/img/logo-craft-cms.svg	C:/websites/htmx/htmx.org/img/logo-craft-cms.svg	(from https://htmx.org/)
19:43:41	9482/9482	U-----	200	untouched ('')	image/png	etag:%22b6ad258bfdc3c042e5cf1e76d7f9c278-ssl%22	https://htmx.org/img/bss_bars.png	C:/websites/htmx/htmx.org/img/bss_bars.png	(from https://htmx.org/)
19:43:41	3920/3920	U--MCZ	200	updated ('OK')	image/svg+xml	etag:%228c889783d0094dee13ad902d1ec6d81e-ssl-df%22	https://htmx.org/img/butter-cms.svg	C:/websites/htmx/htmx.org/img/butter-cms.svg	(from https://htmx.org/)
19:43:41	6707/6707	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22c832c5985dbc27f4431a8d5737219f08-ssl-df%22	https://htmx.org/essays/hypermedia-friendly-scripting	C:/websites/htmx/htmx.org/essays/hypermedia-friendly-scripting.12.delayed	(from https://htmx.org/docs/)
19:43:42	91598/91598	U--MCZ	200	updated ('OK')	image/svg+xml	etag:%22b2aaff62dbb17f1c545f0e207695eec3-ssl-df%22	https://htmx.org/img/topo.svg	C:/websites/htmx/htmx.org/img/topo.svg	(from https://htmx.org/css/site.css)
19:43:42	5374/5374	U--MCZ	200	updated ('OK')	text/html	etag:%22abeb6380058ee37ea7d08a7780b9b5c6-ssl-df%22	https://htmx.org/attributes/hx-get/	C:/websites/htmx/htmx.org/attributes/hx-get/index.html	(from https://htmx.org/docs/)
19:43:42	34783/34783	U--MCZ	200	updated ('OK')	text/html	etag:%22bc6afe164c44ee9250ad50f1fe9a9548-ssl-df%22	https://htmx.org/migration-guide/	C:/websites/htmx/htmx.org/migration-guide/index.html	(from https://htmx.org/docs/)
19:43:42	5358/5358	U--MCZ	200	updated ('OK')	text/html	etag:%22d8302c80cdca790512ec4c80cdaf27fb-ssl-df%22	https://htmx.org/attributes/hx-put/	C:/websites/htmx/htmx.org/attributes/hx-put/index.html	(from https://htmx.org/docs/)
19:43:42	3996/3996	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22060d7d57561a46af4c3a01b1587e4673-ssl-df%22	https://htmx.org/essays/locality-of-behaviour	C:/websites/htmx/htmx.org/essays/locality-of-behaviour.13.delayed	(from https://htmx.org/docs/)
19:43:42	5367/5367	U--MCZ	200	updated ('OK')	text/html	etag:%224677df7789843bb72ce43c8ea02043b7-ssl-df%22	https://htmx.org/attributes/hx-patch/	C:/websites/htmx/htmx.org/attributes/hx-patch/index.html	(from https://htmx.org/docs/)
19:43:42	5666/5666	U--MCZ	200	updated ('OK')	text/html	etag:%22516725446239344ea53503519beb2ef4-ssl-df%22	https://htmx.org/attributes/hx-delete/	C:/websites/htmx/htmx.org/attributes/hx-delete/index.html	(from https://htmx.org/docs/)
